Id,0,Degree
Evan Michael Lee,cast,2
Jared Isaacman,cast,2
Sian Proctor,cast,2
Chris Sembroski,cast,2
Hayley Arceneaux,cast,2
King of Boys,movie,9
Kemi Adetiba,director,17
Sola Sobowale,cast,15
Adesua Etomi,cast,14
"Remilekun ""Reminisce"" Safaru",cast,2
"Tobechukwu ""iLLbliss"" Ejiofor",cast,2
Toni Tones,cast,10
Paul Sambo,cast,2
Jide Kosoko,cast,19
Sharon Ooja,cast,14
You vs. Wild: Out Cold,movie,3
Ben Simms,director,4
Bear Grylls,cast,3
Jason Derek Prempeh,cast,2
Little Singham - Black Shadow,movie,9
Prakash Satam,director,20
Sumriddhi Shukla,cast,4
Jigna Bharadwaj,cast,9
Sonal Kaushal,cast,16
Neshma Chemburkar,cast,4
Ganesh Divekar,cast,5
Annamaya Verma,cast,2
Anamay Verma,cast,4
Manoj Pandey,cast,6
Tughlaq Durbar,movie,4
Delhiprasad Deenadayalan,director,5
Vijay Sethupathi,cast,12
Parthiban,cast,6
Raashi Khanna,cast,5
Tughlaq Durbar (Telugu),movie,4
Firedrake the Silver Dragon,movie,8
Tomer Eshed,director,8
Thomas Brodie-Sangster,cast,8
Felicity Jones,cast,12
Freddie Highmore,cast,8
Patrick Stewart,cast,12
Meera Syal,cast,7
Sanjeev Bhaskar,cast,4
Nonso Anozie,cast,4
Kate,movie,8
Cedric Nicolas-Troyan,director,8
Mary Elizabeth Winstead,cast,17
Jun Kunimura,cast,6
Woody Harrelson,cast,27
Tadanobu Asano,cast,6
Miyavi,cast,2
Michiel Huisman,cast,14
Miku Martineau,cast,2
Omo Ghetto: the Saga,movie,11
JJC Skillz,director,11
Funke Akindele,cast,38
Ayo Makun,cast,17
Chioma Chukwuka Akpotha,cast,9
Yemi Eberechi Alade,cast,3
Blossom Chukwujekwu,cast,32
Deyemi Okanlawon,cast,11
Alexx Ekubo,cast,17
Zubby Michael,cast,3
Tina Mba,cast,26
Femi Jacobs,cast,7
Prey,movie,9
Thomas Sieben,director,13
David Kross,cast,6
Hanno Koffler,cast,2
Maria Ehrich,cast,2
Robert Finster,cast,2
Yung Ngo,cast,4
Klaus Steinbacher,cast,2
Livia Matthes,cast,2
Nellie Thalbach,cast,2
Blood Brothers: Malcolm X & Muhammad Ali,movie,3
Marcus Clarke,director,3
Malcolm X,cast,2
Muhammad Ali,director,15
Paradise Hills,movie,9
Alice Waddington,director,9
Emma Roberts,cast,14
Danielle Macdonald,cast,8
Awkwafina,cast,9
Eiza González,cast,6
Milla Jovovich,cast,4
Jeremy Irvine,cast,8
Arnaud Valois,cast,2
Daniel Horvath,cast,2
JJ+E,movie,11
Alexis Almström,director,11
Elsa Öhrn,cast,2
Mustapha Aarab,cast,2
Jonay Pineda Skallak,cast,2
Magnus Krepper,cast,4
Loreen,cast,2
Albin Grenholm,cast,2
Simon Mezher,cast,2
Elsa Bergström Terent,cast,2
Josef Kadim,cast,2
Yohannes Frezgi,cast,2
Show Dogs,movie,13
Raja Gosnell,director,46
Will Arnett,cast,10
Ludacris,cast,16
Natasha Lyonne,cast,33
Stanley Tucci,cast,26
Jordin Sparks,cast,6
Gabriel Iglesias,cast,13
Shaquille O'Neal,cast,2
Omar Chaparro,cast,4
Alan Cumming,cast,17
Andy Beckwith,cast,4
Delia Sheppard,cast,2
Kerry Shale,cast,6
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,movie,11
Stephen Kijak,director,11
Ronnie Van Zandt,cast,2
Gary Rossington,cast,2
Allen Collins,cast,2
Leon Wilkeson,cast,2
Bob Burns,cast,2
Billy Powell,cast,2
Ed King,cast,2
Artimus Pyle,cast,2
Steve Gaines,cast,2
Johnny Van Zant,cast,2
Shadow Parties,movie,15
Yemi Amodu,director,15
Omotola Jalade-Ekeinde,cast,6
Yemi Blaq,cast,4
Ken Erics,cast,6
Toyin Aimakhu,cast,8
Segun Arinze,cast,19
Jibola Dabo,cast,2
Rotimi Salami,cast,2
Pa Jimi Solanke,cast,2
Rachael Okonkwo,cast,4
Bassey Okon,cast,2
Lucien Morgan,cast,2
Magdalena Korpas,cast,2
Angamaly Diaries,movie,12
Lijo Jose Pellissery,director,12
Antony Varghese,cast,4
Reshma Rajan,cast,2
Binny Rinky Benjamin,cast,2
Vineeth Vishwam,cast,2
Kichu Tellus,cast,2
Sreekanth Dasan,cast,2
Sarath Kumar,cast,2
Tito Wilson,cast,4
Anandhu,cast,2
Bitto Davis,cast,2
Sinoj Varghese,cast,4
A Champion Heart,movie,6
David de Vos,cast,8
Mandy Grace,cast,2
Donna Rusch,cast,2
Devan Key,cast,2
Isabella Mancuso,cast,2
Ariana Guido,cast,2
Worth,movie,9
Sara Colangelo,director,17
Michael Keaton,cast,14
Amy Ryan,cast,10
Shunori Ramanathan,cast,4
Ato Blankson-Wood,cast,2
Tate Donovan,cast,6
Laura Benanti,cast,2
Chris Tardio,cast,2
Afterlife of the Party,movie,9
Stephen Herek,director,17
Victoria Justice,cast,10
Midori Francis,cast,2
Robyn Scott,cast,2
Adam Garcia,cast,2
Timothy Renouf,cast,2
Gloria Garcia,cast,2
Myfanwy Waring,cast,2
Spencer Sutherland,cast,2
Anjaam,movie,10
Rahul Rawail,director,10
Madhuri Dixit,cast,16
Shah Rukh Khan,cast,60
Tinnu Anand,cast,41
Johny Lever,cast,24
Kalpana Iyer,cast,4
Himani Shivpuri,cast,15
Sudha Chandran,cast,2
Beena,cast,5
Kiran Kumar,cast,8
Bright Star,movie,11
Jane Campion,director,29
