Id,Label,0,Degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
Pablo Faro,Pablo Faro,director,2,0,2,0.666667,0.75,0
Agustín Aristarán,Agustín Aristarán,cast,4,0,1,1,1,0
The Day I lost My Shadow,The Day I lost My Shadow,movie,15,0,2,0.758621,0.840909,0
Sawsan Arsheed,Sawsan Arsheed,cast,2,0,2,0.52381,0.545455,0
Reham Kassar,Reham Kassar,cast,2,0,2,0.52381,0.545455,0
Samer Ismael,Samer Ismael,cast,2,0,2,0.52381,0.545455,0
Owiss Mokhallati,Owiss Mokhallati,cast,2,0,2,0.52381,0.545455,0
Hanane Hajj Ali,Hanane Hajj Ali,cast,2,0,2,0.52381,0.545455,0
Yassin Albokhari,Yassin Albokhari,cast,2,0,2,0.52381,0.545455,0
Yamam Al Hassan,Yamam Al Hassan,cast,2,0,2,0.52381,0.545455,0
Noor Maghout,Noor Maghout,cast,2,0,2,0.52381,0.545455,0
Mohammad Alsayyed Ali,Mohammad Alsayyed Ali,cast,2,0,2,0.52381,0.545455,0
Mostafa Alkar,Mostafa Alkar,cast,2,0,2,0.52381,0.545455,0
Amal Assaf,Amal Assaf,cast,2,0,2,0.52381,0.545455,0
Madonna Adib,Madonna Adib,cast,2,0,2,0.52381,0.545455,0
Marwa Almassri,Marwa Almassri,cast,2,0,2,0.52381,0.545455,0
Abdel Nasser Maraqbi,Abdel Nasser Maraqbi,cast,2,0,2,0.52381,0.545455,0
Baggio: The Divine Ponytail,Baggio: The Divine Ponytail,movie,10,0,21,0.115537,0.122283,0.000508
Letizia Lamartire,Letizia Lamartire,director,10,0,21,0.115537,0.122283,0.000508
Andrea Arcangeli,Andrea Arcangeli,cast,2,0,22,0.103571,0.108315,0
Valentina Bellè,Valentina Bellè,cast,2,0,22,0.103571,0.108315,0
Andrea Pennacchi,Andrea Pennacchi,cast,4,0,22,0.10358,0.108438,0.00061
Anna Ferruzzo,Anna Ferruzzo,cast,2,0,22,0.103571,0.108315,0
Riccardo Goretti,Riccardo Goretti,cast,2,0,22,0.103571,0.108315,0
Thomas Trabacchi,Thomas Trabacchi,cast,2,0,22,0.103571,0.108315,0
Marc Clotet,Marc Clotet,cast,2,0,22,0.103571,0.108315,0
